Product Name,Sizes,Sizes Group,Sizes Group Count
עט דגם רויאל,one size,700455345798571475,877
עט דגם פגסוס,one size,700455345798571475,877
אוהל חוף עשוי בד לייקרה ענק 3 על 3,one size,700455345798571475,877
יומן שבועי 17X24 דגם LIEL PVC,one size,700455345798571475,877
יומן כיס שבועי 9X17 דגם MIKA PU,one size,700455345798571475,877
יומן יומי מדורג 21X27 דגם HILA PU A4,54,-8725614115030325282,1
יומן יומי מדורג 15X21 דגם YONATAN PU,one size,700455345798571475,877
יומן שבועי 24X17 דגם ORI PU,one size,700455345798571475,877
תיק שרוך ניילון,one size,700455345798571475,877
דרייפיט קפוצ'ון שרוול ארוך מסנן קרינה UV,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
תיק שרוך דגם סרי לנקה,one size,700455345798571475,877
גופיה כותנה חור רחב,"2XL, XL, L, M, S",1113304725121576563,7
נעל בטיחות סניקרס לבנה S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
נעל עבודה מרקורי S3,"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-7829411099899344912,6
מגף עבודה S3 TITAN CRAZY HORSE,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
נעל בטיחות TITAN SNEAKER,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
נעל בטיחות ספורטיבית S3 GLIDE REFLECT,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
נעל עבודה SUPREME HI TOP,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
מגף עבודה LEGACY ללא מגן,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
נעל בטיחות ספורטיבית GLIDE PLUS S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
נעל בטיחות ספורטיבית GLIDE S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
נעל JCB הולטון פלוס S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
בקבוק שתיה דגן אייסברג,one size,700455345798571475,877
מאפרת נירוסטה מרובעת,one size,700455345798571475,877
נעל ספורט,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
קופסת אוכל עם אטימת סיליקון - טייק אווי,one size,700455345798571475,877
טייץ בייסיק,"L, M, XS",-1893214461223754711,1
דף כרום A4,one size,700455345798571475,877
מגבת חוף ענקית דגם טרבין,one size,700455345798571475,877
חולצה מכופתרת מסננת קרינה מנדפת זיעה,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
מגף עבודה TITAN S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
"רתמה לעבודה בגובה+חגורת גב, חבל ומשכך בתיק",one size,700455345798571475,877
מקטורן שרוול ארוך,"5XL, 3XL, 2XL, XL, L, M, S",8795773979698433827,1
דגמח אינדיאני פרימיום,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
נעל עבודה SUPREME S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
רפידה JCB,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
דיסק און קי 32 ג'יגה,one size,700455345798571475,877
"מנעול 75 מ""מ",one size,700455345798571475,877
דיסק און קי 128 ג'יגה,one size,700455345798571475,877
